,ground_truth,pred,test_criterion
0,0.0,1.0,-0.009996783919632435
1,0.0,0.0,-0.009999377653002739
2,0.0,0.0,-0.010000141337513924
3,0.0,0.0,-0.010000141337513924
4,0.0,0.0,-0.009999912232160568
5,0.0,0.0,-0.009999683126807213
6,0.0,0.0,-0.009999758563935757
7,0.0,0.0,-0.009999912232160568
8,0.0,0.0,-0.010000103153288364
9,0.0,0.0,-0.009999987669289112
10,0.0,0.0,-0.009999874047935009
11,0.0,0.0,-0.009999912232160568
12,0.0,0.0,-0.009999912232160568
13,0.0,0.0,-0.009999987669289112
14,0.0,0.0,-0.010000141337513924
15,0.0,0.0,-0.01000006403774023
16,0.0,0.0,-0.009999987669289112
17,0.0,0.0,-0.009999912232160568
18,0.0,0.0,-0.009999949485063553
19,0.0,0.0,-0.01000006403774023
20,0.0,0.0,-0.010000025853514671
21,0.0,0.0,-0.009999987669289112
22,0.0,0.0,-0.01000006403774023
23,0.0,0.0,-0.009999874047935009
24,0.0,0.0,-0.01000006403774023
25,0.0,0.0,-0.009999834932386875
26,0.0,0.0,-0.009999912232160568
27,0.0,0.0,-0.009999912232160568
28,0.0,0.0,-0.009999987669289112
29,0.0,0.0,-0.009999987669289112
30,0.0,0.0,-0.010000025853514671
31,0.0,0.0,-0.01000006403774023
32,0.0,0.0,-0.01000006403774023
33,0.0,0.0,-0.010000025853514671
34,0.0,0.0,-0.009999987669289112
35,0.0,0.0,-0.009999987669289112
36,0.0,0.0,-0.009999949485063553
37,0.0,0.0,-0.009999987669289112
38,0.0,0.0,-0.010000025853514671
39,0.0,0.0,-0.010000103153288364
40,0.0,0.0,-0.010000141337513924
41,0.0,0.0,-0.01000006403774023
42,0.0,0.0,-0.01000006403774023
43,0.0,0.0,-0.01000006403774023
44,0.0,0.0,-0.01000006403774023
45,0.0,0.0,-0.01000006403774023
46,0.0,0.0,-0.01000006403774023
47,0.0,0.0,-0.01000006403774023
48,0.0,0.0,-0.01000006403774023
49,0.0,0.0,-0.01000006403774023
50,0.0,0.0,-0.01000006403774023
51,0.0,0.0,-0.01000006403774023
52,0.0,0.0,-0.01000006403774023
53,0.0,0.0,-0.010000025853514671
54,0.0,0.0,-0.01000006403774023
55,0.0,0.0,-0.009999987669289112
56,0.0,0.0,-0.01000006403774023
57,0.0,0.0,-0.01000006403774023
58,0.0,0.0,-0.01000006403774023
59,0.0,0.0,-0.01000006403774023
60,0.0,0.0,-0.009999987669289112
61,0.0,0.0,-0.009999987669289112
62,0.0,0.0,-0.009999912232160568
63,0.0,0.0,-0.009999987669289112
64,0.0,0.0,-0.01000006403774023
65,0.0,0.0,-0.010000141337513924
66,0.0,0.0,-0.010000178590416908
67,0.0,0.0,-0.010000331327319145
68,0.0,0.0,-0.010000178590416908
69,0.0,0.0,-0.010000178590416908
70,0.0,0.0,-0.01000006403774023
71,0.0,0.0,-0.010000141337513924
72,0.0,0.0,-0.010000025853514671
73,0.0,0.0,-0.010000141337513924
74,0.0,0.0,-0.010000141337513924
75,0.0,0.0,-0.01000006403774023
76,0.0,0.0,-0.010000216774642467
77,0.0,0.0,-0.010000293143093586
78,0.0,0.0,-0.010000293143093586
79,0.0,0.0,-0.010000293143093586
80,0.0,0.0,-0.010000216774642467
81,0.0,0.0,-0.01000006403774023
82,0.0,0.0,-0.009999987669289112
83,0.0,0.0,-0.010000025853514671
84,0.0,0.0,-0.010000141337513924
85,0.0,0.0,-0.010000216774642467
86,0.0,0.0,-0.010000216774642467
87,0.0,0.0,-0.010000141337513924
88,0.0,0.0,-0.010000141337513924
89,0.0,0.0,-0.010000141337513924
90,0.0,0.0,-0.010000254958868027
91,0.0,0.0,-0.010000293143093586
92,0.0,0.0,-0.010000216774642467
93,0.0,0.0,-0.01000006403774023
94,0.0,0.0,-0.009999912232160568
95,0.0,0.0,-0.01000006403774023
96,0.0,0.0,-0.010000254958868027
97,0.0,0.0,-0.010000369511544704
98,0.0,0.0,-0.009999912232160568
99,0.0,0.0,-0.009998003952205181
100,0.0,1.0,-0.009996862150728703
101,0.0,0.0,-0.009999493137001991
102,0.0,0.0,-0.010000104084610939
103,0.0,0.0,-0.010000218637287617
104,0.0,0.0,-0.009999951347708702
105,0.0,0.0,-0.009999760426580906
106,0.0,0.0,-0.009999837726354599
107,0.0,0.0,-0.009999913163483143
108,0.0,0.0,-0.01000002771615982
109,0.0,0.0,-0.009999913163483143
110,0.0,0.0,-0.009999989531934261
111,0.0,0.0,-0.009999837726354599
112,0.0,0.0,-0.009999951347708702
113,0.0,0.0,-0.009999989531934261
114,0.0,0.0,-0.01000006590038538
115,0.0,0.0,-0.01000006590038538
116,0.0,0.0,-0.009999989531934261
117,0.0,0.0,-0.009999913163483143
118,0.0,0.0,-0.009999913163483143
119,0.0,0.0,-0.009999913163483143
120,0.0,0.0,-0.009999989531934261
121,0.0,0.0,-0.01000006590038538
122,0.0,0.0,-0.01000002771615982
123,0.0,0.0,-0.01000006590038538
124,0.0,0.0,-0.01000002771615982
125,0.0,0.0,-0.009999951347708702
