,ground_truth,pred,test_criterion
0,0.0,1.0,-0.009996050968766212
1,0.0,0.0,-0.009999102912843227
2,0.0,0.0,-0.009999865666031837
3,0.0,0.0,-0.009999865666031837
4,0.0,0.0,-0.0099997129291296
5,0.0,0.0,-0.009999561123549938
6,0.0,0.0,-0.0099997129291296
7,0.0,0.0,-0.009999865666031837
8,0.0,0.0,-0.010000171139836311
9,0.0,0.0,-0.010000019334256649
10,0.0,0.0,-0.009999942034482956
11,0.0,0.0,-0.009999865666031837
12,0.0,0.0,-0.009999865666031837
13,0.0,0.0,-0.0099997129291296
14,0.0,0.0,-0.009999865666031837
15,0.0,0.0,-0.010000019334256649
16,0.0,0.0,-0.010000019334256649
17,0.0,0.0,-0.009999865666031837
18,0.0,0.0,-0.009999865666031837
19,0.0,0.0,-0.009999865666031837
20,0.0,0.0,-0.010000019334256649
21,0.0,0.0,-0.009999865666031837
22,0.0,0.0,-0.009999865666031837
23,0.0,0.0,-0.009999636560678482
24,0.0,0.0,-0.009999865666031837
25,0.0,0.0,-0.009999790228903294
26,0.0,0.0,-0.009999865666031837
27,0.0,0.0,-0.009999865666031837
28,0.0,0.0,-0.010000019334256649
29,0.0,0.0,-0.010000094771385193
30,0.0,0.0,-0.010000171139836311
31,0.0,0.0,-0.010000171139836311
32,0.0,0.0,-0.010000171139836311
33,0.0,0.0,-0.010000019334256649
34,0.0,0.0,-0.009999865666031837
35,0.0,0.0,-0.009999790228903294
36,0.0,0.0,-0.0099997129291296
37,0.0,0.0,-0.009999942034482956
38,0.0,0.0,-0.010000019334256649
39,0.0,0.0,-0.01000024750828743
40,0.0,0.0,-0.010000323876738548
41,0.0,0.0,-0.010000171139836311
42,0.0,0.0,-0.010000171139836311
43,0.0,0.0,-0.010000171139836311
44,0.0,0.0,-0.010000171139836311
45,0.0,0.0,-0.010000171139836311
46,0.0,0.0,-0.010000171139836311
47,0.0,0.0,-0.010000171139836311
48,0.0,0.0,-0.010000019334256649
49,0.0,0.0,-0.009999865666031837
50,0.0,0.0,-0.009999865666031837
51,0.0,0.0,-0.009999865666031837
52,0.0,0.0,-0.010000019334256649
53,0.0,0.0,-0.010000019334256649
54,0.0,0.0,-0.010000094771385193
55,0.0,0.0,-0.010000171139836311
56,0.0,0.0,-0.010000171139836311
57,0.0,0.0,-0.01000024750828743
58,0.0,0.0,-0.010000171139836311
59,0.0,0.0,-0.010000171139836311
60,0.0,0.0,-0.010000019334256649
61,0.0,0.0,-0.010000019334256649
62,0.0,0.0,-0.010000171139836311
63,0.0,0.0,-0.010000171139836311
64,0.0,0.0,-0.010000171139836311
65,0.0,0.0,-0.010000323876738548
